代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
8462,柏文,7.15,7.15,6.01,3.96,4.34,3.86,2.92,,,
5546,永固-KY,7.14,7.14,,,,,,,,
1515,力山,7.01,7.01,1.49,0.58,0.7,0.81,1.14,0.35,-0.52,0.36
4430,耀億,6.97,6.97,0.35,1.52,2.25,2.32,2.38,2.67,1.91,2.03
6278,台表科,6.96,6.96,2.64,1.95,3.05,3.78,4.47,4,5.48,7.54
4126,太醫,6.95,6.95,3.59,5.04,5.32,4.95,4.88,4.78,5.39,5.49
6274,台燿,6.92,6.92,4.12,3.76,3.11,3.11,2.56,2.01,0.78,1.59
1788,杏昌,6.91,6.91,7.17,5.93,6.2,6.28,6.26,5.33,4.73,4.77
8066,來思達,6.88,6.88,10.26,10.22,10.16,4.71,4.99,0.21,-0.26,-1.58
3596,智易,6.85,6.85,3.21,7.19,3.06,4.29,4.15,2.53,4.15,5.03
6672,騰輝電子-KY,6.85,6.85,5.4,8.69,1.09,0.87,,,,
4402,福大,6.82,6.82,-1.04,1.15,-4.49,-2.85,-1.98,-2.04,-3.55,2.38
6641,基士德-KY,6.79,6.79,4.81,2.52,0.86,,,,,
6111,大宇資,6.77,6.77,0.38,-2.9,3.87,-0.82,-0.62,-2.56,-1.92,-2.48
4572,駐龍,6.74,6.74,5,4.5,,,,,,
6192,巨路,6.72,6.72,4.47,4.35,4.86,5.34,5.38,5.68,5.85,5.4
4107,邦特,6.7,6.7,4.39,5.17,4.07,3.43,2.71,2.12,1.64,2.2
2752,豆府,6.66,6.66,14.47,22.17,17.73,,,,,
3004,豐達科,6.66,6.66,3.52,4.2,4.53,-1.32,2.66,4.37,3,2.98
3479,安勤,6.65,6.65,3.33,4.74,4.35,3.5,3.65,4.88,2.69,3.5
2377,微星,6.61,6.61,5.84,5.79,4.39,3.57,2.34,0.99,0.32,0.49
2348,海悅,6.59,6.59,2.13,0.12,1.06,4.13,4.18,-52.32,0.17,-4.11
5263,智崴,6.57,6.57,6,2.3,2.57,6.83,-0.22,2.28,1.74,
3653,健策,6.55,6.55,2.19,2.32,2.14,3.83,2.73,2.26,5,6.66
4763,材料-KY,6.52,6.52,3.7,6.17,6.33,1.44,2.02,0.57,,
6486,互動,6.51,6.51,3.61,3.7,3.59,4.82,4.09,,,
6411,晶焱,6.37,6.37,6.33,4.89,2.98,2.45,2.76,2.91,3.39,
6290,良維,6.35,6.35,1.71,3.09,2.22,2.85,2.25,2,2.4,3.47
5234,達興材料,6.33,6.33,5.07,3.78,2.86,3.25,4.62,4.03,2.75,4.41
5312,寶島科,6.31,6.31,5.06,5.98,6.22,5.87,5.94,5.42,3.75,3.84
6147,頎邦,6.28,6.28,3.47,3.07,3.19,3.95,4.14,4.33,3.01,4.56
3617,碩天,6.25,6.25,7.11,9.02,7.45,5.64,5.36,5.1,3.84,5.02
3227,原相,6.23,6.23,5.52,1.2,2.4,2.95,2.06,2.19,3.85,6.29
4953,緯軟,6.23,6.23,2.54,1.52,0.36,2.89,1.6,1.46,0.74,1.73
6435,大中,6.16,6.16,4.73,3.61,2.99,3.34,3.69,2.79,,
6451,訊芯-KY,6.16,6.16,1.05,9.12,10.56,10.23,12.51,13.21,18.52,
3526,凡甲,6.13,6.13,3.06,5.94,1.42,1.29,0.07,2.11,2.53,5.8
8114,振樺電,6.13,6.13,8,9.34,9.12,8.88,7.81,5.98,5.25,5.42
2373,震旦行,6.12,6.12,6.67,4.02,3.8,3.46,3.9,3.54,3.42,2.41
3010,華立,6.12,6.12,6.09,4.52,4.88,5.52,5.01,4.27,4.12,6.09
1232,大統益,6.09,6.09,5.11,5.58,5.7,6.17,4.42,2.8,3.67,4.19
3455,由田,6.09,6.09,2.75,4.06,3.06,2.01,-0.99,-3.48,1.73,5.41
8466,美吉吉-KY,6.09,6.09,7.49,9.5,7.44,5.81,7.69,,,
5469,瀚宇博,6.05,6.05,1.9,2.1,0.81,1.57,-0.56,1.24,1.06,1.25
6277,宏正,6.05,6.05,6.08,6.6,5.9,6.37,6.2,4.01,4.32,4.79
5604,中連貨,6.04,6.04,0.79,0.88,3.81,1.19,1.25,1.23,1.55,2.18
2049,上銀,6.03,6.03,9.77,4.83,6.1,9.2,7.96,8.15,16.23,7.41
8942,森鉅,6,6,-0.23,6.58,7.79,4.52,4.36,4.16,3.85,1.6
3541,西柏,5.96,5.96,5.55,5.76,4.27,7.6,2.78,2.69,3.27,3.53
1773,勝一,5.9,5.9,5.86,5.23,4.08,3.5,4.05,4.1,3.63,4.87
1301,台塑,5.86,5.86,7.76,6.19,4.85,2.81,3.25,2.43,5.84,7.44
6592,和潤企業,5.81,5.81,3.94,3.4,,,,,,
8924,大田,5.81,5.81,8.74,-1.83,-0.56,-0.5,-0.71,0.34,0.2,1.52
3088,艾訊,5.76,5.76,11.71,4.56,5.38,4.75,3.47,2.32,1.86,2.56
1341,富林-KY,5.69,5.69,4.61,12.96,14.79,,,,,
6464,台數科,5.68,5.68,5.16,6.09,7.65,8.51,8.42,,,
2114,鑫永銓,5.63,5.63,5.02,5.19,6.2,7.34,7.11,7.48,6.06,4.64
3527,聚積,5.63,5.63,4.07,6.05,3.51,5.53,4.86,9.11,9.01,9.3
3211,順達,5.61,5.61,2.81,3.21,4.64,6.09,5.5,10.24,11.7,8.94
1723,中碳,5.57,5.57,5,4.45,5.37,9.5,9.6,8.55,9.76,8.32
1102,亞泥,5.56,5.56,1.74,1.26,1.55,2.98,3.42,1.57,3.19,2.5
2397,友通,5.51,5.51,3.65,4.59,3.13,2.95,2.21,1.82,1.79,1.24
2491,吉祥全,5.48,5.48,0.51,-0.36,0.47,3.52,-2.11,-7.09,-3.66,1.39
3532,台勝科,5.48,5.48,2.89,0.94,1.65,1.4,0.4,0.11,0.19,0.5
5530,龍巖,5.48,5.48,4.44,2.45,2.73,5.49,5.05,5.23,4.68,2.33
9943,好樂迪,5.48,5.48,4.75,4.72,6.79,4.4,2.69,3.84,4.83,2.08
4912,聯德控股-KY,5.47,5.47,7.55,1.71,5.19,6.73,4,7.24,4.01,3.32
6125,廣運,5.47,5.47,-0.89,-1.93,0.3,0.74,-1.83,-3.6,-1.07,1.08
1215,卜蜂,5.46,5.46,5.35,4.71,2.57,3.21,1.95,1.39,0.59,1.49
2239,英利-KY,5.46,5.46,9.75,15.12,6.94,11.42,10.18,,,
2881,富邦金,5.46,5.46,5.19,4.73,6.21,5.89,3.9,3.07,3.39,2.33
8497,格威傳媒,5.44,5.44,3.09,3.3,8.46,9.84,,,,
3679,新至陞,5.42,5.42,5.5,7.59,4.28,3.67,3.5,5.01,8.11,8.16
