"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1121",="3094","聯傑","17.5","2013","3.5","-6.67","2.45","-2.81","0.72","+19.9","70","+2.78","20.5","+4.95","0.87","+0.14","5.73","+1.05","5.39","+0.98","77"
"1122",="3354","律勝","12.3","2013","8.51","-14.1","1.44","-17.7","0.01","-89.9","16.9","-0.74","0.16","-1.07","0.02","-0.14","0.1","-0.8","0.09","-0.63","45"
"1123",="3588","通嘉","30.65","2013","10.6","-1.89","3.85","-4.47","1.13","-7.25","36.3","-0.98","10.6","-0.62","2.51","-0.21","9.85","-0.9","8.41","-0.89","64"
"1124",="4433","興采","30","2013","13.7","+15.6","3.36","+20.7","0.66","+43.6","24.5","+1.04","4.8","+0.94","2.59","+0.21","16.8","+0.08","8.47","+2.09","50"
"1125",="4720","德淵","16.95","2013","21.3","-6.85","4.73","-4.37","0.51","-33.5","22.2","+0.58","2.44","-0.99","0.68","-0.37","5.49","-2.96","3.09","-1.52","47"
"1126",="8478","東哥遊艇","34.5","-","","","","","","","","","","","","","","","","",""
"1127",="8921","沈氏","13.3","2013","7.76","-5.17","1.46","+15.3","0.73","+28.7","18.8","+3.34","9.47","+2.49","1.58","+0.36","9.06","+1.85","7.03","+1.48","51"
"1128",="1235","興泰","25.55","2013","2.49","-21.9","0.18","-23.5","-0.46","-446","7.24","-0.15","-18.4","-22.1","-0.84","-1.09","-4.97","-6.21","-2.65","-3.34","26"
"1129",="8440","綠電","12.65","2013","7.4","-18.8","0.38","-65.4","0.22","-44.7","5.16","-6.95","2.95","-1.38","0.7","-0.72","5.87","-5.69","4.84","-3.74","49"
"1130",="8046","南電","54.1","2013","324","+8.83","4.09","+138","-8.36","+59.9","1.26","+4.92","-2.58","+4.43","-1.29","+1.93","-2.5","+3.7","-1.96","+2.87","38"
"1131",="6016","康和證","7","2013","20.8","+14.2","16.7","+12.9","0.19","+49.5","79.9","-0.92","1.05","+0.24","0.03","+0.01","0.28","+0.09","0.07","+0.01","34"
