代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
6506,雙邦,5.41,5.85,6.71,3.16,1.62,2.51,2.2,3.32,2.94,2.83
3211,順達,5.75,5.56,6.69,9.43,10.3,6.78,7.83,5.67,5.19,6.3
3684,榮昌,3.51,8.71,5.84,8.01,4.29,4.04,5.16,7.25,6.36,2.36
4305,世坤,7.03,7.23,7.77,7.77,6.72,6.57,6.3,4.51,4.68,5.01
8466,美吉吉-KY,4.3,11.2,7.59,5.12,,,,,,
1310,台苯,9.57,7.11,9.69,5.01,0,3.62,0,0,0,3.96
4952,凌通,7.43,9.98,6.49,8.57,7.02,6.61,2.97,7.69,12,
2453,凌群,2.97,6.25,3.26,4.72,5.61,4.21,2.95,4.26,0,2.47
3029,零壹,4.97,6.61,5.98,5.59,2.28,5.35,4.28,5.02,4.67,1.72
5546,永固-KY,,,,,,,,,,
4974,亞泰,5.17,7.24,5.26,7.82,7.28,6.19,5.26,8.61,10.4,
9802,鈺齊-KY,2.71,8.65,4.5,3.09,4.63,4.22,5.87,2.22,,
4572,駐龍,2.7,0.42,,,,,,,,
2221,大甲,7,5.02,4.79,4.84,1.84,1.62,2.17,9.19,0,0
2547,日勝生,6.87,0,0,0,8.47,5.59,3.32,4.87,11.4,2.76
6629,泰金-KY,2.88,,,,,,,,,
1201,味全,3.19,0,0,0,0,2.4,1.15,1.66,1.86,1.57
4438,廣越,3.95,4.34,4.75,3.58,,,,,,
6277,宏正,9.25,6.32,6.9,6.48,8.1,6.02,3.68,7.63,8.09,5.67
6470,宇智,5.08,4.34,11.2,8.33,5.1,,,,,
8416,實威,6.49,4.8,6.15,6.83,5.7,3.79,2.07,7.46,,
2890,永豐金,4.89,4.85,3.56,4.76,5.34,2.58,2.25,1.09,1.63,0.86
1522,堤維西,4.48,6.64,6.02,4.17,4.27,0,0,0.94,0,2.51
8021,尖點,5.32,2.23,4.24,6.95,5.3,2.8,3.36,4.27,4.08,0.93
5490,同亨,1.49,4.17,8.06,7.98,3.32,6.22,3.16,10.4,11.6,3.2
2108,南帝,5.98,3.6,4.26,9.15,1.03,2.48,2.6,8,3.85,3.7
8099,大世科,3.03,9.59,5.48,5.7,9.21,6.48,3.01,9.32,6.19,6.64
3479,安勤,3.4,6.76,7.88,5.7,4.41,6.74,7.85,5.48,11.9,3.62
6525,捷敏-KY,5.93,4.23,4.38,6.29,,,,,,
2420,新巨,7.79,8.6,8.37,7.05,8,6.8,5.39,9.26,8.91,3.94
5315,光聯,8.53,5.93,14,0,0,0,0,0,0,0
3169,亞信,5.27,5.98,3.38,6.73,5,5.56,3.38,7.25,10.9,4.52
2732,六角,2.58,5.88,5.9,5.1,2.69,1.99,0.65,,,
3010,華立,5.66,6.65,4.66,5.88,7.4,5.45,5.28,5.82,9.72,3.95
3038,全台,2.84,4.3,4.09,3.26,0,0,0,0,0,0
3092,鴻碩,10.5,10.2,4.25,1.84,3.21,0,2.96,5.42,6.33,1.23
4550,長佳,4.56,7.57,10.5,5.41,3.79,4.79,,,,
3030,德律,6.95,6.58,6.7,10.5,8.78,6.47,8.89,4.96,8.19,1.05
8074,鉅橡,6.72,7.89,6.34,4.89,5.47,4.5,4.18,5.71,2.93,4.6
6674,鋐寶科技,6.19,4.85,,,,,,,,
2616,山隆,5.36,8.77,6.38,5.34,6.64,6.25,5.95,4.42,8.54,5.34
2439,美律,5.07,12.9,4.57,2.67,8.2,3.32,1.15,3.73,11.2,6.2
8131,福懋科,6.7,7.86,6.36,8.49,6.91,1.75,5.8,9.33,10.8,2.37
5285,界霖,5.45,4.57,1.62,5.12,4.92,3.83,2.39,,,
2430,燦坤,5.25,7.03,8.32,4.12,1.89,6.01,4.86,7.75,6.97,4.99
6281,全國電,5.87,6.36,6.94,5.76,6.74,5.6,7.8,5.95,6.46,7.53
5243,乙盛-KY,4.05,6.53,3.31,3.09,9.12,3.4,0,,,
6242,立康,6.21,5.73,2.1,0.1,0,0,0,0,0,0
6494,九齊,5.98,12.5,4.64,5.29,6.77,,,,,
1101,台泥,7.56,4.21,3.98,3.78,9.12,5.3,4.11,4.88,5.71,5.49
6188,廣明,3.61,5.06,4.73,4.01,12.7,8.43,4.22,7.39,10.5,10.1
6023,元大期,5.04,4.66,6.02,6.06,19.4,5.96,5.18,7.46,4.77,4.84
2937,集雅社,2.99,3.55,1.44,,,,,,,
9933,中鼎,5.92,7.28,5.76,4.92,6.23,3.95,5.87,4.82,5.87,7.26
2228,劍麟,4.18,6.74,4.02,2.75,2.22,2.81,2.59,,,
4741,泓瀚,6.5,8.7,4.67,5.17,4.97,1.79,3.53,2.22,8.24,
6139,亞翔,4.77,5.88,4.21,2.36,4.42,6.09,7.02,11.1,11.3,3.21
8109,博大,5.78,5.28,5.22,7.02,7.17,6.01,4.4,8.57,4.64,4.5
2347,聯強,5.33,6.04,2.47,4.62,10.3,6.07,4.23,7.48,3.08,3.05
6666,羅麗芬-KY,3.97,2.47,,,,,,,,
6257,矽格,5.55,6.51,5,6.87,9.52,5.86,7.38,6.27,11.7,4.31
3570,大塚,3.35,2.76,6.44,6.76,7.05,2.88,1.45,6.64,4.97,3.91
6290,良維,2.14,4.82,4.19,6.99,6.24,4.64,7.4,3.7,8.52,6.34
3014,聯陽,6.12,8.23,8.26,6.63,6.96,3.12,4.7,0,6.38,3.23
4104,佳醫,5.57,6.07,5.56,5.3,5.07,3.9,3.38,1.73,4.05,2.14
5288,豐祥-KY,4.1,3.57,4.7,6.27,3.48,4.81,,,,
5234,達興材料,5.52,3.76,4.42,5.49,7.14,6.56,4.48,5.41,,
6411,晶焱,4.21,4.57,2.15,3.14,4.51,3,2.94,,,
2520,冠德,3.13,2.44,5.39,5.12,12.2,3.61,2.9,4.67,6.88,3
1570,力肯,5.65,6.56,3.36,3.57,0,0,0,0,0,0
8472,夠麻吉,1.98,4.93,7.25,2.35,,,,,,
2015,豐興,7.45,5.98,5.39,5.52,6.52,7.72,4.57,5.8,5.69,3.59
6138,茂達,5.35,3.97,4.68,4.59,8.01,1.52,4.56,8.48,8.82,3.65
9911,櫻花,5.62,7.21,6.64,3.91,7.1,5.42,3.37,4.18,4.52,1.65
8150,南茂,3.5,1.15,3.78,9,7.15,3,,,,
1442,名軒,5.05,11.6,5.31,5.65,10.7,16.7,3.26,10.1,7.83,5.77
6530,創威,4.96,4.4,4.76,6.89,,,,,,
2436,偉詮電,3.73,2.68,1.68,2.34,4.31,0.53,1.16,0,5.47,3.22
1725,元禎,5.62,5.74,5.25,5.65,4.5,2.46,0,0,0.9,1.09
8923,時報,5.5,6.34,6.25,5,5.06,5.85,4.44,6.29,7.81,5.42
3426,台興,6.03,1.93,3.54,3.17,,,,,,
3026,禾伸堂,7.76,5.1,2.23,7.78,9.85,6.75,5.29,7.83,8.89,8.11
2317,鴻海,4.41,2.82,4.73,4.75,4.7,2.05,1.87,1.69,1.21,1.7
1104,環泥,5.1,5.82,5.23,4.06,4.44,3.49,2.65,3.75,7.52,2.7
2449,京元電子,3.6,7.73,5.94,4.76,8.35,5.11,5.37,3.6,10.9,0
5508,永信建,8.6,8.7,5.71,10.6,21.3,15.3,14.8,3.2,8.76,7.7
2897,王道銀行,0,3.75,4.58,5.97,5.15,2.93,3.21,2.93,3.4,2.54
6672,騰輝電子-KY,3.52,,,,,,,,,
3596,智易,3.72,2.67,7.51,2.81,5.57,4.94,2.22,4.94,3.32,3.77
3048,益登,3.66,7.63,2.64,6.02,5.2,1.76,3.66,6.51,8.64,6.1
8420,明揚,2.74,2.67,6.52,5.43,0.95,2.18,0,0,2.96,
