"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"89",="1464","得力","05/22","20.85","-0.1","-0.48","2018","19.75","1.21","2.2","0","2.2","11.1","0","11.1","182","0","182","18'08/31"
"90",="3036","文曄","05/22","38.65","-0.35","-0.9","2018","38.8","5.26","2.5","0","2.5","6.44","0","6.44","47.5","0","47.5","18'08/31"
"91",="1452","宏益","05/22","16.75","-0.15","-0.89","2018","16.85","1.63","1.4","0","1.4","8.31","0","8.31","85.9","0","85.9","18'08/10"
"92",="1712","興農","05/22","18.15","-0.05","-0.27","2018","16.75","1.5","1","0","1","5.98","0","5.98","66.8","0","66.8","18'08/31"
"93",="2458","義隆","05/22","91","-2.7","-2.88","2018","75.2","2.58","2.58","0","2.58","3.43","0","3.43","100","0","100","18'08/08"
"94",="5536","聖暉","05/22","210.5","-0.5","-0.24","2018","169.5","18.17","13","1.5","14.5","7.67","0.89","8.56","71.6","8.26","79.8","18'07/18"
"95",="6184","大豐電","05/22","42.1","-0.1","-0.24","2018","34","2.37","2.5","0","2.5","7.35","0","7.35","105","0","105","18'09/14"
"96",="4972","湯石照明","05/22","30.2","-0.05","-0.17","2018","30.95","3.04","2.3","0","2.3","7.43","0","7.43","75.7","0","75.7","18'07/20"
"97",="8213","志超","05/22","35.2","-0.2","-0.56","2018","27.75","2.83","1.51","0","1.51","5.45","0","5.45","53.5","0","53.5","18'07/30"
"98",="8088","品安","05/22","29.4","+0.55","+1.91","2018","12.5","0.41","0.19","0","0.19","1.53","0","1.53","46.5","0","46.5","18'07/31"
"99",="1537","廣隆","05/22","141.5","-1.5","-1.05","2018","145","11.04","9.5","0","9.5","6.55","0","6.55","86","0","86","18'09/18"
"100",="8064","東捷","05/22","14.15","-0.15","-1.05","2018","16.8","0.01","0","0","0","0","0","0","0","0","0",""
"101",="6270","倍微","05/22","18.4","-0.4","-2.13","2018","11.7","0.33","0.97","0","0.97","8.29","0","8.29","294","0","294","18'08/10"
"102",="6263","普萊德","05/22","63.7","+0.1","+0.16","2018","56.7","4.9","4.3","0","4.3","7.58","0","7.58","87.8","0","87.8","18'09/05"
"103",="3231","緯創","05/22","28.4","+0.05","+0.18","2018","19.1","1.48","1.17","0.29","1.46","6.12","1.53","7.65","79","19.8","98.8","18'08/24"
"104",="5864","致和證","05/22","7.81","-0.18","-2.25","2018","10.1","0.59","0.5","0","0.5","4.95","0","4.95","84.8","0","84.8","18'06/08"
"105",="6218","豪勉","05/22","19.9","-0.35","-1.73","2018","19.65","1.13","1.2","0","1.2","6.11","0","6.11","106","0","106","18'08/10"
"106",="8938","明安","05/22","32.8","-0.5","-1.5","2018","37.15","3.3","2.6","0","2.6","7","0","7","78.8","0","78.8","18'07/18"
"107",="6177","達麗","05/22","28.55","-0.05","-0.17","2018","28.1","5.17","4.42","0","4.42","15.7","0","15.7","85.4","0","85.4","18'09/21"
"108",="8383","千附","05/22","35.7","-0.4","-1.11","2018","32.9","4.02","2.7","0","2.7","8.21","0","8.21","67.2","0","67.2","18'08/31"
"109",="2852","第一保","05/22","13.75","-0.25","-1.79","2018","14.7","1.53","0.6","0","0.6","4.08","0","4.08","39.2","0","39.2","18'08/17"
"110",="3303","岱稜","05/22","23.65","-0.25","-1.05","2018","19.25","0.17","0.49","0","0.49","2.55","0","2.55","289","0","289","18'08/10"
"111",="6147","頎邦","05/22","60.2","+0.5","+0.84","2018","62","3.47","2.35","0","2.35","3.79","0","3.79","67.7","0","67.7","18'08/17"
"112",="1521","大億","05/22","57.6","-0.2","-0.35","2018","53","6.55","5.2","0","5.2","9.81","0","9.81","79.4","0","79.4","18'07/30"
"113",="6216","居易","05/22","27.3","-0.2","-0.73","2018","27.55","2.38","2.06","0","2.06","7.47","0","7.47","86.5","0","86.5","18'10/05"
