代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
9933,中鼎,2.25,3.23,2.6,2.4,2.23,1.99,2.84,2.76,2.42,2.37
2228,劍麟,5,5.24,4.75,4.47,3.5,3.5,2.2,7.41,1.5,1
4741,泓瀚,1.95,3,3.5,3.98,4,1.5,1.8,1.2,2.8,1.5
6139,亞翔,1.5,1.5,1.43,0.88,0.8,1.5,2,3,3,1
8109,博大,4.5,4,3.5,4.5,4.3,4,2.5,3,1.7,2
2347,聯強,2,2.2,1,1.5,3.3,2.8,2,4,2.25,2.4
6666,羅麗芬-KY,7,4.4,,,,,,,,
6257,矽格,2.06,1.76,1.65,1.6,2.12,1.8,2.1,1.62,2.27,1.2
3570,大塚,3,1.28,3,3.5,4,3,2.2,2.5,1.98,1.4
6290,良維,1.49,1.5,2.65,2,1.81,1.43,2,1.05,2.5,2.98
3014,聯陽,2.7,2.5,2.93,2,2,1.19,1.2,0,1.5,2
4104,佳醫,3,2.79,2.5,2.39,2.5,2,2,1,2.5,1.98
5288,豐祥-KY,5,4,4,5.01,3.5,3,,,,
5234,達興材料,5,3.5,3,2,2.2,3,3,2,1.5,
6411,晶焱,4.17,3.2,1.8,1.8,1.5,1.5,1.5,2,,
2520,冠德,1,0.5,1.1,1,2,1,0.99,0.99,1,1
1570,力肯,0.8,0.8,0.5,0.5,0,0,0,0,0,0
8472,夠麻吉,0.55,1,2.77,3.95,4.2,,,,,
2015,豐興,4,3.5,3,2.5,2.5,3,2.5,3,2.75,2
6138,茂達,4.2,2.4,2.11,1.5,1.89,0.49,0.98,1.53,1.5,1.2
9911,櫻花,2.65,2.6,2.5,1.3,1.3,1.2,0.7,0.7,0.7,0.4
8150,南茂,1.2,0.3,1,2.09,2.22,1.2,0.5,0,0,0
1442,名軒,1,1.8,0.99,1,1.85,4,1.2,2.5,1.8,1.5
6530,創威,1,1,1,1,,,,,,
2436,偉詮電,1,0.6,0.5,0.5,0.9,0.18,0.3,0,0.75,0.8
1725,元禎,0.84,0.83,0.8,0.78,0.62,0.35,0,0,0.15,0.25
8923,時報,0.85,0.9,0.9,0.85,0.85,1,0.8,1,1.25,1
3426,台興,2.5,1,2.5,2,2.2,,,,,
3026,禾伸堂,9,5.3,2.5,2.5,3.29,2.8,2,2,2.31,3
2317,鴻海,4,2,4.5,4,3.8,1.8,1.5,1.5,1,2
1104,環泥,1,1.1,1.2,1,1,0.9,0.75,0.6,1,0.5
2449,京元電子,1.35,1.8,1.8,1.2,1.8,1.3,1.1,0.67,1.1,0
5508,永信建,2.86,2.72,1.81,2.37,6.11,10.08,10.77,1.66,2.53,2.61
2897,王道銀行,0,0.3,0.45,0.5,0.4,0.2,0.2,0.2,0.2,0.2
6672,騰輝電子-KY,3.35,1,,,,,,,,
3596,智易,3.5,2,3.9,1.6,2.2,2.1,1,1.5,1.1,2.3
3048,益登,0.7,1,0.5,1,0.99,0.5,0.5,0.68,0.71,1
8420,明揚,0.8,0.5,1.2,1.2,0.2,0.45,0,0,0.43,
5483,中美晶,3,3,1.5,1.5,1.8,1,0,0.85,5,1
